id,city,daypart,visit_daypart,year,daypart_index
363114,Hà Nội,9h - 11h,2.0,2018,2
363115,Hà Nội,17h - 21h,3.0,2018,5
363116,Hà Nội,17h - 21h,3.0,2018,5
363117,Hà Nội,17h - 21h,3.0,2018,5
363117,Hà Nội,14h - 17h,3.0,2018,4
363279,Cần Thơ,0h - 9h,24.0,2018,1
363326,Cần Thơ,14h - 17h,2.0,2018,4
363406,Cần Thơ,0h - 9h,25.0,2018,1
363454,Đà Nẵng,17h - 21h,4.0,2018,5
363454,Đà Nẵng,0h - 9h,4.0,2018,1
363631,Cần Thơ,17h - 21h,20.0,2018,5
363656,Đà Nẵng,0h - 9h,4.0,2018,1
363785,Cần Thơ,0h - 9h,8.0,2018,1
363813,Hà Nội,17h - 21h,3.0,2018,5
363813,Hà Nội,9h - 11h,4.0,2018,2
363813,Hà Nội,11h - 14h,1.0,2018,3
363943,Đà Nẵng,0h - 9h,4.0,2018,1
364039,Cần Thơ,17h - 21h,6.0,2018,5
364102,Cần Thơ,17h - 21h,10.0,2018,5
364345,Hà Nội,9h - 11h,5.0,2018,2
364345,Hà Nội,17h - 21h,4.0,2018,5
364345,Hà Nội,11h - 14h,3.0,2018,3
364345,Hà Nội,14h - 17h,2.0,2018,4
364511,Hà Nội,17h - 21h,2.0,2018,5
364511,Hà Nội,11h - 14h,3.0,2018,3
364513,Hà Nội,17h - 21h,3.0,2018,5
364513,Hà Nội,9h - 11h,3.0,2018,2
364513,Hà Nội,14h - 17h,5.0,2018,4
364513,Hà Nội,11h - 14h,2.0,2018,3
364514,Hà Nội,14h - 17h,2.0,2018,4
364514,Hà Nội,11h - 14h,2.0,2018,3
364677,Hà Nội,17h - 21h,2.0,2018,5
364678,Hà Nội,17h - 21h,1.0,2018,5
364678,Hà Nội,21h+,2.0,2018,6
364680,Hà Nội,9h - 11h,15.0,2018,2
365076,Cần Thơ,0h - 9h,3.0,2018,1
365304,Cần Thơ,0h - 9h,24.0,2018,1
365472,Cần Thơ,14h - 17h,4.0,2018,4
365525,Cần Thơ,0h - 9h,6.0,2018,1
365525,Cần Thơ,11h - 14h,6.0,2018,3
365526,Cần Thơ,0h - 9h,1.0,2018,1
365526,Cần Thơ,17h - 21h,3.0,2018,5
365657,Hà Nội,17h - 21h,3.0,2018,5
365681,Hồ Chí Minh,14h - 17h,2.0,2018,4
365681,Hồ Chí Minh,0h - 9h,6.0,2018,1
365682,Hồ Chí Minh,9h - 11h,1.0,2018,2
365682,Hồ Chí Minh,17h - 21h,2.0,2018,5
365717,Đà Nẵng,0h - 9h,4.0,2018,1
365717,Đà Nẵng,17h - 21h,4.0,2018,5
365734,Cần Thơ,0h - 9h,12.0,2018,1
365735,Cần Thơ,17h - 21h,2.0,2018,5
365735,Cần Thơ,0h - 9h,2.0,2018,1
365736,Cần Thơ,17h - 21h,5.0,2018,5
365737,Cần Thơ,0h - 9h,14.0,2018,1
365737,Cần Thơ,17h - 21h,8.0,2018,5
365738,Cần Thơ,11h - 14h,3.0,2018,3
365738,Cần Thơ,21h+,5.0,2018,6
365738,Cần Thơ,0h - 9h,4.0,2018,1
365739,Cần Thơ,0h - 9h,16.0,2018,1
365740,Cần Thơ,11h - 14h,12.0,2018,3
365740,Cần Thơ,17h - 21h,6.0,2018,5
365740,Cần Thơ,0h - 9h,12.0,2018,1
365741,Cần Thơ,17h - 21h,21.0,2018,5
365742,Cần Thơ,17h - 21h,5.0,2018,5
365744,Cần Thơ,0h - 9h,25.0,2018,1
365745,Cần Thơ,0h - 9h,4.0,2018,1
365745,Cần Thơ,17h - 21h,1.0,2018,5
365746,Cần Thơ,17h - 21h,12.0,2018,5
365747,Cần Thơ,17h - 21h,6.0,2018,5
365748,Cần Thơ,17h - 21h,21.0,2018,5
365748,Cần Thơ,11h - 14h,12.0,2018,3
365748,Cần Thơ,0h - 9h,16.0,2018,1
365845,Cần Thơ,0h - 9h,2.0,2018,1
366024,Cần Thơ,0h - 9h,24.0,2018,1
366071,Hà Nội,11h - 14h,1.0,2018,3
366071,Hà Nội,17h - 21h,3.0,2018,5
366071,Hà Nội,9h - 11h,3.0,2018,2
366212,Cần Thơ,0h - 9h,24.0,2018,1
366266,Hải Phòng,9h - 11h,3.0,2018,2
366266,Hải Phòng,17h - 21h,3.0,2018,5
366360,Đà Nẵng,17h - 21h,6.0,2018,5
366395,Cần Thơ,0h - 9h,24.0,2018,1
366420,Đà Nẵng,0h - 9h,30.0,2018,1
366447,Cần Thơ,0h - 9h,16.0,2018,1
366447,Cần Thơ,9h - 11h,8.0,2018,2
366448,Cần Thơ,0h - 9h,24.0,2018,1
366450,Cần Thơ,0h - 9h,15.0,2018,1
366450,Cần Thơ,9h - 11h,9.0,2018,2
366452,Cần Thơ,17h - 21h,4.0,2018,5
366452,Cần Thơ,0h - 9h,20.0,2018,1
366453,Cần Thơ,17h - 21h,10.0,2018,5
366453,Cần Thơ,0h - 9h,14.0,2018,1
366454,Cần Thơ,9h - 11h,2.0,2018,2
366454,Cần Thơ,0h - 9h,22.0,2018,1
366455,Cần Thơ,0h - 9h,24.0,2018,1
366456,Cần Thơ,0h - 9h,24.0,2018,1
366458,Cần Thơ,0h - 9h,24.0,2018,1
366483,Đà Nẵng,17h - 21h,22.0,2018,5
366483,Đà Nẵng,9h - 11h,4.0,2018,2
366505,Cần Thơ,0h - 9h,1.0,2018,1
366505,Cần Thơ,11h - 14h,1.0,2018,3
366520,Hồ Chí Minh,0h - 9h,6.0,2018,1
366562,Đà Nẵng,0h - 9h,25.0,2018,1
366595,Đà Nẵng,0h - 9h,2.0,2018,1
366595,Đà Nẵng,17h - 21h,2.0,2018,5
366693,Cần Thơ,0h - 9h,4.0,2018,1
366767,Đà Nẵng,0h - 9h,10.0,2018,1
366767,Đà Nẵng,17h - 21h,10.0,2018,5
366774,Đà Nẵng,0h - 9h,8.0,2018,1
366855,Cần Thơ,9h - 11h,1.0,2018,2
366855,Cần Thơ,0h - 9h,1.0,2018,1
366880,Hồ Chí Minh,17h - 21h,1.0,2018,5
366880,Hồ Chí Minh,11h - 14h,1.0,2018,3
366883,Hồ Chí Minh,11h - 14h,3.5,2018,3
366884,Hồ Chí Minh,21h+,2.0,2018,6
366884,Hồ Chí Minh,14h - 17h,2.0,2018,4
366884,Hồ Chí Minh,17h - 21h,4.0,2018,5
366889,Hồ Chí Minh,17h - 21h,2.0,2018,5
366889,Hồ Chí Minh,0h - 9h,2.0,2018,1
366936,Cần Thơ,0h - 9h,24.0,2018,1
367081,Cần Thơ,0h - 9h,25.0,2018,1
367082,Cần Thơ,17h - 21h,7.0,2018,5
367083,Cần Thơ,17h - 21h,6.0,2018,5
367084,Cần Thơ,0h - 9h,25.0,2018,1
367085,Cần Thơ,0h - 9h,25.0,2018,1
367132,Đà Nẵng,0h - 9h,24.0,2018,1
367174,Đà Nẵng,11h - 14h,8.0,2018,3
367174,Đà Nẵng,0h - 9h,21.0,2018,1
367178,Hải Phòng,9h - 11h,2.0,2018,2
367179,Hải Phòng,17h - 21h,3.0,2018,5
367182,Hải Phòng,17h - 21h,3.0,2018,5
367187,Đà Nẵng,17h - 21h,1.0,2018,5
367187,Đà Nẵng,0h - 9h,8.0,2018,1
367222,Hồ Chí Minh,14h - 17h,4.0,2018,4
367316,Đà Nẵng,17h - 21h,3.0,2018,5
367316,Đà Nẵng,0h - 9h,12.0,2018,1
367324,Đà Nẵng,17h - 21h,8.0,2018,5
367324,Đà Nẵng,0h - 9h,17.0,2018,1
367348,Hà Nội,21h+,2.0,2018,6
367348,Hà Nội,17h - 21h,2.0,2018,5
367353,Hồ Chí Minh,0h - 9h,2.0,2018,1
367353,Hồ Chí Minh,14h - 17h,1.0,2018,4
367354,Hồ Chí Minh,14h - 17h,4.0,2018,4
367354,Hồ Chí Minh,0h - 9h,18.0,2018,1
367355,Hồ Chí Minh,14h - 17h,2.0,2018,4
367355,Hồ Chí Minh,0h - 9h,1.0,2018,1
367357,Hồ Chí Minh,11h - 14h,8.0,2018,3
367358,Hồ Chí Minh,17h - 21h,1.0,2018,5
367358,Hồ Chí Minh,14h - 17h,2.0,2018,4
367358,Hồ Chí Minh,0h - 9h,5.0,2018,1
367359,Hồ Chí Minh,14h - 17h,3.0,2018,4
367359,Hồ Chí Minh,0h - 9h,4.0,2018,1
367361,Hồ Chí Minh,11h - 14h,4.0,2018,3
367361,Hồ Chí Minh,14h - 17h,2.0,2018,4
367363,Hồ Chí Minh,17h - 21h,2.0,2018,5
367363,Hồ Chí Minh,0h - 9h,1.0,2018,1
367367,Đà Nẵng,9h - 11h,8.0,2018,2
367450,Cần Thơ,0h - 9h,20.0,2018,1
367455,Cần Thơ,0h - 9h,4.0,2018,1
367595,Cần Thơ,0h - 9h,4.0,2018,1
367647,Đà Nẵng,0h - 9h,28.0,2018,1
367674,Cần Thơ,0h - 9h,20.0,2018,1
367742,Đà Nẵng,0h - 9h,12.0,2018,1
367742,Đà Nẵng,17h - 21h,14.0,2018,5
367769,Đà Nẵng,14h - 17h,1.0,2018,4
367769,Đà Nẵng,11h - 14h,4.0,2018,3
367781,Cần Thơ,0h - 9h,24.0,2018,1
