id,year,city,brand,p1m,weekly,daily,visit,ppa,spending,segmentation,R_score,F_score,M_score,RFM_segment,KMeans_segment
92815,2017,Hồ Chí Minh,Trung Nguyên,Yes,No,No,1.0,56.0,112.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,3,213,2
92815,2017,Hồ Chí Minh,Highlands Coffee,Yes,No,No,1.0,56.0,112.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,3,213,2
92820,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,No,5.0,50.0,250.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
92821,2017,Hồ Chí Minh,Highlands Coffee,Yes,Yes,No,8.0,80.0,1120.0,Seg.03 - Premium (VND 60K - VND 99K),3,4,3,343,3
92821,2017,Hồ Chí Minh,Trung Nguyên,Yes,Yes,No,6.0,80.0,1120.0,Seg.03 - Premium (VND 60K - VND 99K),3,4,3,343,3
92839,2017,Hồ Chí Minh,Highlands Coffee,Yes,No,No,2.0,55.0,220.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
92839,2017,Hồ Chí Minh,The Coffee House,Yes,No,No,2.0,55.0,220.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
93066,2017,Hồ Chí Minh,Highlands Coffee,Yes,No,No,1.0,35.0,35.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,1,211,2
93168,2017,Hồ Chí Minh,Trung Nguyên,Yes,Yes,Yes,20.0,40.0,800.0,Seg.02 - Mass Asp (VND 25K - VND 59K),4,4,2,442,1
93183,2017,Hồ Chí Minh,Trung Nguyên,Yes,Yes,No,5.0,40.0,400.0,Seg.02 - Mass Asp (VND 25K - VND 59K),3,3,2,332,1
93191,2017,Hồ Chí Minh,Highlands Coffee,Yes,No,No,2.0,40.0,80.0,Seg.02 - Mass Asp (VND 25K - VND 59K),2,1,2,212,2
