id,city,companion_group,year
351905,Hồ Chí Minh,Colleagues / Business partner,2018
351905,Hồ Chí Minh,Friends,2018
351905,Hồ Chí Minh,Alone,2018
352059,Hồ Chí Minh,Friends,2018
352060,Hồ Chí Minh,Friends,2018
352060,Hồ Chí Minh,Family,2018
352980,Hồ Chí Minh,Friends,2018
352980,Hồ Chí Minh,Family,2018
352980,Hồ Chí Minh,Colleagues / Business partner,2018
352981,Hồ Chí Minh,Family,2018
352981,Hồ Chí Minh,Friends,2018
352983,Hồ Chí Minh,Family,2018
352984,Hồ Chí Minh,Colleagues / Business partner,2018
352984,Hồ Chí Minh,Family,2018
352984,Hồ Chí Minh,Friends,2018
353154,Hồ Chí Minh,Friends,2018
353154,Hồ Chí Minh,Family,2018
353396,Hồ Chí Minh,Family,2018
353396,Hồ Chí Minh,Friends,2018
353397,Hồ Chí Minh,Friends,2018
353398,Hồ Chí Minh,Friends,2018
353401,Hồ Chí Minh,Boyfriend / Girlfriend,2018
353401,Hồ Chí Minh,Colleagues / Business partner,2018
353401,Hồ Chí Minh,Friends,2018
353417,Hồ Chí Minh,Friends,2018
353417,Hồ Chí Minh,Boyfriend / Girlfriend,2018
353418,Hồ Chí Minh,Friends,2018
353618,Hồ Chí Minh,Family,2018
353619,Hồ Chí Minh,Colleagues / Business partner,2018
353619,Hồ Chí Minh,Family,2018
353619,Hồ Chí Minh,Friends,2018
353620,Hồ Chí Minh,Friends,2018
353620,Hồ Chí Minh,Boyfriend / Girlfriend,2018
353621,Hồ Chí Minh,Boyfriend / Girlfriend,2018
353621,Hồ Chí Minh,Friends,2018
353622,Hồ Chí Minh,Friends,2018
353623,Hồ Chí Minh,Friends,2018
353623,Hồ Chí Minh,Family,2018
355530,Hồ Chí Minh,Friends,2018
356847,Cần Thơ,Friends,2018
356847,Cần Thơ,Family,2018
357024,Cần Thơ,Friends,2018
357090,Cần Thơ,Friends,2018
357091,Cần Thơ,Friends,2018
357092,Cần Thơ,Friends,2018
357093,Cần Thơ,Friends,2018
357258,Hà Nội,Friends,2018
357258,Hà Nội,Family,2018
357530,Hà Nội,Friends,2018
357530,Hà Nội,Colleagues / Business partner,2018
357580,Cần Thơ,Friends,2018
357745,Hà Nội,Friends,2018
357745,Hà Nội,Colleagues / Business partner,2018
357867,Hà Nội,Friends,2018
358029,Cần Thơ,Boyfriend / Girlfriend,2018
358029,Cần Thơ,Friends,2018
358030,Cần Thơ,Friends,2018
358031,Cần Thơ,Friends,2018
358095,Cần Thơ,Friends,2018
358230,Cần Thơ,Friends,2018
358404,Cần Thơ,Friends,2018
358405,Cần Thơ,Friends,2018
358482,Hà Nội,Friends,2018
358482,Hà Nội,Colleagues / Business partner,2018
358483,Hà Nội,Family,2018
358483,Hà Nội,Friends,2018
358484,Hà Nội,Family,2018
358484,Hà Nội,Alone,2018
358484,Hà Nội,Friends,2018
358485,Hà Nội,Friends,2018
358486,Hà Nội,Friends,2018
358631,Hà Nội,Family,2018
358631,Hà Nội,Friends,2018
358633,Hà Nội,Friends,2018
358634,Hà Nội,Colleagues / Business partner,2018
358634,Hà Nội,Friends,2018
358635,Hà Nội,Friends,2018
358808,Cần Thơ,Colleagues / Business partner,2018
358809,Cần Thơ,Family,2018
358809,Cần Thơ,Friends,2018
358930,Cần Thơ,Friends,2018
358930,Cần Thơ,Family,2018
358960,Cần Thơ,Friends,2018
358960,Cần Thơ,Family,2018
358962,Cần Thơ,Friends,2018
358962,Cần Thơ,Family,2018
358963,Cần Thơ,Family,2018
358963,Cần Thơ,Friends,2018
359041,Cần Thơ,Friends,2018
359041,Cần Thơ,Colleagues / Business partner,2018
359144,Cần Thơ,Friends,2018
359144,Cần Thơ,Family,2018
359149,Cần Thơ,Family,2018
359149,Cần Thơ,Friends,2018
359150,Cần Thơ,Friends,2018
359150,Cần Thơ,Family,2018
359151,Cần Thơ,Family,2018
359151,Cần Thơ,Friends,2018
359183,Cần Thơ,Friends,2018
359245,Cần Thơ,Friends,2018
359383,Cần Thơ,Alone,2018
359399,Hà Nội,Friends,2018
359492,Cần Thơ,Friends,2018
359492,Cần Thơ,Family,2018
359492,Cần Thơ,Colleagues / Business partner,2018
359563,Cần Thơ,Friends,2018
359563,Cần Thơ,Alone,2018
359564,Cần Thơ,Alone,2018
359566,Cần Thơ,Alone,2018
