ID,Year,City,Brand,Spontaneous,Awareness,Trial,P3M,P1M,Comprehension,Brand_Likability,Weekly,Daily,Fre#visit,PPA,Spending,Segmentation,NPS#P3M,NPS#P3M#Group,Spending_use
392032,2018,Hải Phòng,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,,,Highlands Coffee,,4.0,49.0,196.0,Seg.02 - Mass Asp (VND 25K - VND 59K),9.0,Promoter,196.0
432847,2018,Nha Trang,Other 1,Other 1,Other 1,Other 1,Other 1,,,,,,,,,,7.0,Passive,
124745,2017,Hồ Chí Minh,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),,,Street / Half street coffee (including carts),,4.0,,,,,,
141298,2017,Hồ Chí Minh,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,,,Indepedent Cafe,Indepedent Cafe,30.0,,,,,,
419493,2018,Hải Phòng,Other 1,Other 1,Other 1,Other 1,Other 1,Other 1,,,,,3.0,20.0,60.0,Seg.01 - Mass (<VND 25K),9.0,Promoter,60.0
824257,2019,Hà Nội,Passio,Passio,Passio,Passio,,,Know a little,,,,,,,,,,
134968,2017,Hà Nội,Milano,,Milano,,,,,,,,,,,,,,
800853,2019,Hà Nội,Urban Station,,Urban Station,Urban Station,,,Know a little,,,,,,,,,,
783057,2019,Hà Nội,Cộng Cà Phê,,Cộng Cà Phê,,,,Know a little,,,,,,,,,,
419803,2018,Nha Trang,Other 1,Other 1,Other 1,Other 1,Other 1,Other 1,,,,,1.0,20.0,20.0,Seg.01 - Mass (<VND 25K),8.0,Passive,20.0
445338,2018,Hải Phòng,Other 1,Other 1,Other 1,Other 1,Other 1,,,,,,,,,,7.0,Passive,
101932,2017,Hồ Chí Minh,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,,,,,,,,,,,,
727861,2019,Hải Phòng,Milano,,Milano,,,,Know it well,,,,,,,,,,
138973,2017,Hồ Chí Minh,Trung Nguyên,,Trung Nguyên,,,,,,,,,,,,,,
94137,2017,Hồ Chí Minh,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,,,,,,,,,,,,
372878,2018,Đà Nẵng,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),,,,,,,,,,,,,,
459120,2018,Hồ Chí Minh,Trung Nguyên,,Trung Nguyên,,,,,,,,,,,,,,
133327,2017,Hồ Chí Minh,Saigon Café,,Saigon Café,,,,,,,,,,,,,,
138166,2017,Đà Nẵng,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,,,Indepedent Cafe,Indepedent Cafe,38.0,,,,,,
805528,2019,Hà Nội,Starbucks,,Starbucks,Starbucks,,,Know a little,,,,,,,,,,
852651,2019,Hồ Chí Minh,Mê Trang,,Mê Trang,,,,Know a little,,,,,,,,,,
439018,2018,Hồ Chí Minh,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,,,,,,,,,,,,,
834628,2019,Cần Thơ,Trung Nguyên,,Trung Nguyên,,,,Maybe do not know it,,,,,,,,,,
734990,2019,Hải Phòng,Trung Nguyên,,Trung Nguyên,,,,Maybe do not know it,,,,,,,,,,
377785,2018,Hà Nội,Cộng Cà Phê,,Cộng Cà Phê,,,,,,,,,,,,,,
783509,2019,Hà Nội,Cộng Cà Phê,,Cộng Cà Phê,Cộng Cà Phê,,,Know it well,Cộng Cà Phê,,,,,,,,,
829872,2019,Hồ Chí Minh,Mộc Miên,,Mộc Miên,,,,Know a little,,,,,,,,,,
860742,2019,Nha Trang,Street,,Street,Street,Street,,Maybe do not know it,,,,,,,,8.0,Passive,
363114,2018,Hà Nội,Trung Nguyên,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,,,,,,,,,,,
816329,2019,Cần Thơ,Mê Trang,Mê Trang,Mê Trang,Mê Trang,,,Know it well,,,,,,,,,,
830680,2019,Hà Nội,Starbucks,Starbucks,Starbucks,,,,Know it well,Starbucks,,,,,,,,,
459783,2018,Hà Nội,Cộng Cà Phê,Cộng Cà Phê,Cộng Cà Phê,Cộng Cà Phê,Cộng Cà Phê,,,,,,,,,,8.0,Passive,
402817,2018,Hồ Chí Minh,The Coffee House,,The Coffee House,,,,,,,,,,,,,,
818118,2019,Hồ Chí Minh,Highlands Coffee,,Highlands Coffee,Highlands Coffee,,,Know it well,,,,,,,,,,
777021,2019,Hà Nội,Street,Street,Street,Street,,,Know it very well,,,,,,,,,,
435054,2018,Hải Phòng,Other 1,Other 1,Other 1,Other 1,Other 1,Other 1,,,,,2.0,25.0,50.0,Seg.02 - Mass Asp (VND 25K - VND 59K),9.0,Promoter,50.0
121617,2017,Hà Nội,Starbucks,,Starbucks,,,,,,,,,,,,,,
815670,2019,Hà Nội,Starbucks,,Starbucks,Starbucks,,,Know a little,,,,,,,,,,
452014,2018,Nha Trang,Other 2,Other 2,Other 2,Other 2,,,,,,,,,,,,,
805710,2019,Hồ Chí Minh,Street,Street,Street,Street,Street,Street,Know it well,Street,Not Applicable,Not Applicable,2.0,20.0,40.0,Seg.01 - Mass (<VND 25K),9.0,Promoter,40.0
139916,2017,Hà Nội,Cộng Cà Phê,Cộng Cà Phê,Cộng Cà Phê,Cộng Cà Phê,,,,,,,,,,,,,
110414,2017,Hải Phòng,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,,,Indepedent Cafe,,4.0,,,,,,
133896,2017,Đà Nẵng,Trung Nguyên,,Trung Nguyên,Trung Nguyên,,,,,,,,,,,,,
133099,2017,Hồ Chí Minh,Trung Nguyên,,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,,,,,,,,7.0,Passive,
392493,2018,Hà Nội,Street / Half street coffee (including carts),,Street / Half street coffee (including carts),,,,,,,,,,,,,,
795580,2019,Hà Nội,Highlands Coffee,,Highlands Coffee,Highlands Coffee,Highlands Coffee,,Know a little,,,,,,,,6.0,Detractor,
845924,2019,Hồ Chí Minh,Trung Nguyên,,Trung Nguyên,,,,Know a little,,,,,,,,,,
136156,2017,Đà Nẵng,Trung Nguyên,,Trung Nguyên,Trung Nguyên,Trung Nguyên,,,,,,,,,,9.0,Promoter,
439990,2018,Nha Trang,Street / Half street coffee (including carts),,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),Street / Half street coffee (including carts),,,Street / Half street coffee (including carts),,5.0,12.0,60.0,Seg.01 - Mass (<VND 25K),4.0,Detractor,60.0
122859,2017,Hà Nội,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,Indepedent Cafe,,,Indepedent Cafe,,4.0,,,,,,
